S no,Date,Region,Cumulative  tests performed,Cumulative  Test positive,Tests  performed in last 24 hours,Still admitted,Discharged,Expired,Home Quarantine,New  (last 24 hrs),Expired status
1,43919,Punjab,3492,558,0,247,4,5,302,182,Normal
2,43919,Sindh,5673,481,0,294,14,2,171,515,Normal
3,43919,KP,1229,188,0,60,2,4,122,108,Normal
4,43919,Balochistan,1737,138,0,130,2,1,5,136,Normal
5,43919,AJK,97,2,0,2,0,0,0,7,Normal
6,43919,GB,895,116,0,12,4,1,99,1,Normal
7,43920,ICT,1310,51,0,13,3,0,35,133,Normal
8,43920,Punjab,3492,593,0,253,5,6,329,95,Normal
9,43920,Sindh,5945,508,0,306,16,5,181,623,Normal
10,43920,KP,1324,195,0,60,2,5,128,94,Normal
11,43920,Balochistan,1710,144,0,133,2,1,8,94,Normal
12,43920,AJK,105,6,0,6,0,0,0,8,Normal
13,43920,GB,862,128,0,12,4,1,111,74,Normal
14,43921,ICT,1469,58,0,16,3,0,39,195,Normal
15,43921,Punjab,2500,652,0,303,5,9,335,154,Normal
16,43921,Sindh,6328,627,0,315,42,7,263,383,Normal
17,43921,KP,1512,221,0,70,2,6,143,312,Normal
18,43921,Balochistan,1792,153,0,139,2,1,11,130,Normal
19,43921,AJK,177,6,0,6,0,0,0,72,Normal
20,43921,GB,880,148,0,12,4,2,130,18,Normal
21,43922,ICT,1703,54,0,16,3,0,35,122,Normal
22,43922,Punjab,2720,708,0,357,5,9,337,692,Normal
23,43922,Sindh,6578,676,0,385,51,8,232,250,Normal
24,43922,KP,1271,253,0,74,2,6,171,190,Normal
25,43922,Balochistan,1934,158,0,124,17,1,16,109,Normal
26,43922,AJK,239,6,0,6,0,0,0,62,Normal
27,43922,GB,750,184,0,12,4,2,166,11,Normal
28,43923,ICT,1997,62,0,15,3,0,44,294,Normal
29,43923,Punjab,2945,845,0,384,6,11,444,624,Alert
30,43923,Sindh,6926,743,0,387,58,9,289,348,Normal
31,43923,KP,1814,276,0,84,19,8,165,290,Normal
32,43923,Balochistan,2049,169,0,125,17,1,26,115,Normal
33,43923,AJK,249,9,0,9,0,0,0,10,Normal
34,43923,GB,797,187,0,12,4,2,169,3,Normal
35,43924,ICT,2395,68,0,18,3,0,47,398,Normal
36,43924,Punjab,15134,920,0,456,6,11,447,436,Alert
37,43924,Sindh,7504,783,0,410,65,11,297,578,Alert
38,43924,KP,1938,311,0,92,30,9,180,124,Normal
39,43924,Balochistan,2171,169,0,125,17,1,26,122,Normal
40,43924,AJK,322,9,0,9,0,0,0,73,Normal
41,43924,GB,844,190,0,12,5,3,170,67,Normal
42,43925,AJK,343,11,21,11,0,0,0,21,Normal
43,43925,Balochistan,2401,175,0,132,17,1,25,230,Normal
44,43925,GB,860,193,844,12,9,3,169,2,Normal
45,43925,ICT,2569,75,174,14,3,0,58,174,Normal
46,43925,KP,1624,343,181,92,30,11,210,431,Alert
47,43925,Punjab,16508,1072,1087,506,6,11,549,334,Alert
48,43925,Sindh,8625,839,1121,391,65,14,369,1121,Alert
49,43926,AJK,385,12,42,11,1,0,0,42,Normal
50,43926,Balochistan,2513,185,132,133,17,1,34,132,Normal
51,43926,GB,975,206,116,12,9,3,182,95,Normal
52,43926,ICT,2744,78,175,10,3,0,65,175,Normal
53,43926,KP,1769,372,147,95,30,14,233,179,Alert
54,43926,Punjab,17653,1163,1145,526,25,12,600,2403,Alert
55,43926,Sindh,8846,864,221,390,85,15,374,221,Alert
56,43927,AJK,400,15,15,14,1,0,0,15,Normal
57,43927,Balochistan,2777,191,264,112,30,1,48,419,Normal
58,43927,GB,998,210,23,12,13,3,182,4,Normal
59,43927,ICT,2871,82,127,11,3,0,68,127,Normal
60,43927,KP,1974,405,205,120,62,16,207,334,Alert
61,43927,Punjab,17724,1493,1014,653,25,15,800,823,Alert
62,43927,Sindh,9131,881,285,363,123,15,380,285,Alert
63,43928,AJK,484,18,84,17,1,0,0,84,Normal
64,43928,Balochistan,2998,202,221,87,63,1,51,371,Normal
65,43928,GB,1015,211,17,14,15,3,179,49,Normal
66,43928,ICT,2921,83,50,17,3,1,62,50,Normal
67,43928,KP,2103,500,129,138,69,17,276,134,Alert
68,43928,Punjab,20073,1918,1929,751,25,15,1127,704,Alert
69,43928,Sindh,9589,932,658,287,253,17,375,658,Alert
70,43929,AJK,534,19,50,18,1,0,0,50,Normal
71,43929,Balochistan,3091,206,93,77,75,2,52,93,Normal
72,43929,GB,1127,212,112,14,15,3,180,64,Normal
73,43929,ICT,3096,92,175,17,3,1,71,175,Normal
74,43929,KP,2262,527,159,197,70,18,242,52,Alert
75,43929,Punjab,21826,2030,1853,713,34,16,1267,961,Alert
76,43929,Sindh,10223,986,634,303,269,18,396,634,Alert
77,43930,AJK,581,28,47,27,1,0,0,47,Normal
78,43930,Balochistan,3216,212,125,77,76,2,57,160,Normal
79,43930,GB,1143,213,16,14,96,3,100,36,Normal
80,43930,ICT,3233,102,137,11,10,1,80,137,Normal
